split,label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
train,1,3.7592,2.742,4.4168,3.4435,3.8781,3.5898,3.4691,2.7011,3.7141,3.4281,3.0594,4.0107,3.9624,3.3749,4.0681,2.6339
train,2,6.9934,5.6613,4.257,7.3228,7.5147,6.4564,5.89,6.4328,6.5074,6.4634,6.2039,5.5379,5.005,5.4399,5.2991,6.7242
train,0,-1.0217,-0.4373,-0.9852,0.0222,0.1525,-0.8825,0.6719,-0.3507,0.005,0.5036,0.0616,-0.3248,-0.2904,0.8891,-0.4839,0.7269
train,2,6.3979,5.9502,4.8283,6.6623,6.5355,6.7567,7.1525,6.2898,6.0954,4.9607,6.4924,5.5106,5.6378,4.9882,5.2259,5.5751
train,0,0.8527,-0.3089,-0.1454,-0.2429,-0.3465,-1.1015,1.4848,-0.0644,-0.1703,0.7713,-0.0836,-0.1491,-0.4713,0.1157,0.2067,0.1872
train,1,3.4149,3.4382,1.7454,4.0254,3.7641,3.4237,1.4209,2.4931,3.6738,1.551,2.8528,3.8156,1.951,4.2881,3.4416,2.8799
train,0,0.6816,0.9544,1.5044,0.1142,0.2685,0.5931,0.6031,0.7844,-0.5405,-0.446,1.1167,1.1236,1.1105,-0.3591,-0.0567,-0.8818
train,2,6.2366,5.2373,5.6988,6.2218,5.8094,5.7857,6.4992,6.2248,6.3819,6.6214,6.0163,6.0056,6.2151,6.3011,5.8809,6.1374
train,0,-0.3421,-0.298,-0.0105,0.739,-0.2693,0.3087,1.4698,-2.0517,-0.8991,0.1951,0.3187,0.1909,-0.3449,0.5241,0.2257,-0.4176
train,0,0.5475,1.8941,-0.7909,0.9348,1.1565,-0.6924,-0.3417,1.0961,1.3,0.8366,-1.7369,-0.2017,-0.3501,0.4473,-0.9135,-0.2442
train,2,6.2464,7.4406,7.5585,5.8519,6.5099,4.6132,5.9635,5.4275,5.2547,5.9171,6.1873,6.0345,5.8861,6.6091,5.2921,4.1259
train,1,3.4612,1.8037,1.7314,4.7572,3.3248,3.18,2.2865,3.1357,0.6906,3.2527,2.962,2.9684,3.6183,2.6033,2.0558,1.8117
train,0,1.1785,-0.7502,0.0008,-0.9122,0.6128,1.2715,-0.7122,1.2483,0.7904,-0.1423,-1.5776,1.1253,-0.077,-0.4823,0.3197,0.328
train,1,3.1563,2.5783,4.0368,1.012,2.5911,2.3795,2.5957,2.8724,5.1191,3.1902,2.4233,2.2097,3.7801,2.6544,4.0363,1.9204
